factor,source,economic_family,research_usable,block_reason,authoritative_semantics,primary_family,economic_subfamily,mechanism,intended_role,data_horizon,definition,active,review_status,numeric_verification
alpha360_OPEN5,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_path_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($open, 5)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_OPEN50,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_path_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($open, 50)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_OPEN51,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_path_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($open, 51)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_OPEN52,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_path_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($open, 52)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_OPEN53,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_path_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($open, 53)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_OPEN54,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_path_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($open, 54)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_OPEN55,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_path_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($open, 55)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_OPEN56,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_path_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($open, 56)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_OPEN57,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_path_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($open, 57)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_OPEN58,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_path_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($open, 58)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_OPEN59,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_path_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($open, 59)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_OPEN6,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_path_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($open, 6)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_OPEN7,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_path_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($open, 7)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_OPEN8,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_path_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($open, 8)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_OPEN9,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_path_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($open, 9)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME1,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 1)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME10,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha360 expression: Ref($volume, 10)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME11,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 11)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME12,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 12)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME13,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 13)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME14,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 14)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME15,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha360 expression: Ref($volume, 15)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME16,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 16)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME17,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 17)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME18,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 18)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME19,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 19)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME2,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 2)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME20,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha360 expression: Ref($volume, 20)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME21,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha360 expression: Ref($volume, 21)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME22,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 22)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME23,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 23)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME24,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 24)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME25,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha360 expression: Ref($volume, 25)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME26,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 26)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME27,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 27)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME28,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 28)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME29,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 29)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME3,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 3)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME30,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 30)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME31,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 31)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME32,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 32)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME33,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 33)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME34,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 34)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME35,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha360 expression: Ref($volume, 35)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME36,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 36)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME37,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 37)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME38,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 38)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME39,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 39)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME4,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 4)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME40,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 40)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME41,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 41)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME42,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 42)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME43,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 43)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME44,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 44)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME45,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha360 expression: Ref($volume, 45)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME46,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 46)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME47,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 47)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME48,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 48)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME49,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 49)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME5,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha360 expression: Ref($volume, 5)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME50,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha360 expression: Ref($volume, 50)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME51,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha360 expression: Ref($volume, 51)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME52,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha360 expression: Ref($volume, 52)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME53,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha360 expression: Ref($volume, 53)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME54,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha360 expression: Ref($volume, 54)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME55,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha360 expression: Ref($volume, 55)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME56,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha360 expression: Ref($volume, 56)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME57,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha360 expression: Ref($volume, 57)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME58,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha360 expression: Ref($volume, 58)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME59,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha360 expression: Ref($volume, 59)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME6,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 6)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME7,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 7)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME8,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 8)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VOLUME9,alpha360,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_medium_to_long,"Qlib Alpha360 expression: Ref($volume, 9)/($volume+1e-12) Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VWAP0,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_volume_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_medium_to_long,Qlib Alpha360 expression: $vwap/$close Alpha360 batch V4 passed.,False,inherited_requires_reconciliation,not_yet_verified
alpha360_VWAP1,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_volume_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($vwap, 1)/$close Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_VWAP10,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_volume_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($vwap, 10)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_VWAP11,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_volume_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($vwap, 11)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_VWAP12,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_volume_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($vwap, 12)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_VWAP13,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_volume_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($vwap, 13)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_VWAP14,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_volume_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($vwap, 14)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_VWAP15,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_volume_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($vwap, 15)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
