factor,proposal_role_0_7,proposed_representative_0_7,representation_sign_0_7,reason_0_7,all_views_comparable_peers_0_7,unknown_pair_count_0_7,proposal_role_0_85,proposed_representative_0_85,representation_sign_0_85,reason_0_85,all_views_comparable_peers_0_85,unknown_pair_count_0_85,proposal_role_0_95,proposed_representative_0_95,representation_sign_0_95,reason_0_95,all_views_comparable_peers_0_95,unknown_pair_count_0_95,proposal_role_0_995,proposed_representative_0_995,representation_sign_0_995,reason_0_995,all_views_comparable_peers_0_995,unknown_pair_count_0_995,mechanism,horizon,formula_units,replacement_hold_reason,canonical_representation_proposal,registration_status,user_decision,replacement_authority
alpha360_LOW58,retain_semantic_or_horizon_variant,alpha360_LOW58,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_LOW58,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_LOW58,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_LOW58,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_low_to_current_close_ratio,lag_58,ratio,,,,pending,none_proposal_only
alpha360_LOW59,retain_semantic_or_horizon_variant,alpha360_LOW59,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_LOW59,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_LOW59,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_LOW59,1.0,Singleton is not evidence of independence,480,13,historical_low_to_current_close_ratio,lag_59,ratio,,,,pending,none_proposal_only
alpha360_LOW6,retain_semantic_or_horizon_variant,alpha360_LOW6,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_LOW6,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_LOW6,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_LOW6,1.0,Singleton is not evidence of independence,480,13,historical_low_to_current_close_ratio,lag_6,ratio,,,,pending,none_proposal_only
alpha360_LOW7,retain_semantic_or_horizon_variant,alpha360_LOW7,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_LOW7,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_LOW7,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_LOW7,1.0,Singleton is not evidence of independence,480,13,historical_low_to_current_close_ratio,lag_7,ratio,,,,pending,none_proposal_only
alpha360_LOW8,retain_semantic_or_horizon_variant,alpha360_LOW8,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_LOW8,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_LOW8,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_LOW8,1.0,Singleton is not evidence of independence,480,13,historical_low_to_current_close_ratio,lag_8,ratio,,,,pending,none_proposal_only
alpha360_LOW9,retain_semantic_or_horizon_variant,alpha360_LOW9,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_LOW9,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_LOW9,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_LOW9,1.0,Singleton is not evidence of independence,480,13,historical_low_to_current_close_ratio,lag_9,ratio,,,,pending,none_proposal_only
alpha360_OPEN10,retain_semantic_or_horizon_variant,alpha360_OPEN10,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN10,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN10,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN10,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_10,ratio,,,,pending,none_proposal_only
alpha360_OPEN11,retain_semantic_or_horizon_variant,alpha360_OPEN11,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN11,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN11,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN11,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_11,ratio,,,,pending,none_proposal_only
alpha360_OPEN12,retain_semantic_or_horizon_variant,alpha360_OPEN12,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN12,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN12,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN12,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_12,ratio,,,,pending,none_proposal_only
alpha360_OPEN13,retain_semantic_or_horizon_variant,alpha360_OPEN13,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN13,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN13,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN13,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_13,ratio,,,,pending,none_proposal_only
alpha360_OPEN14,retain_semantic_or_horizon_variant,alpha360_OPEN14,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN14,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN14,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN14,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_14,ratio,,,,pending,none_proposal_only
alpha360_OPEN15,retain_semantic_or_horizon_variant,alpha360_OPEN15,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN15,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN15,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN15,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_15,ratio,,,,pending,none_proposal_only
alpha360_OPEN16,retain_semantic_or_horizon_variant,alpha360_OPEN16,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN16,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN16,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN16,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_16,ratio,,,,pending,none_proposal_only
alpha360_OPEN17,retain_semantic_or_horizon_variant,alpha360_OPEN17,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN17,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN17,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN17,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_17,ratio,,,,pending,none_proposal_only
alpha360_OPEN18,retain_semantic_or_horizon_variant,alpha360_OPEN18,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN18,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN18,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN18,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_18,ratio,,,,pending,none_proposal_only
alpha360_OPEN19,retain_semantic_or_horizon_variant,alpha360_OPEN19,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN19,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN19,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN19,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_19,ratio,,,,pending,none_proposal_only
alpha360_OPEN2,retain_semantic_or_horizon_variant,alpha360_OPEN2,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN2,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN2,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN2,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_2,ratio,,,,pending,none_proposal_only
alpha360_OPEN20,retain_semantic_or_horizon_variant,alpha360_OPEN20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN20,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_20,ratio,,,,pending,none_proposal_only
alpha360_OPEN21,retain_semantic_or_horizon_variant,alpha360_OPEN21,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN21,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN21,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN21,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_21,ratio,,,,pending,none_proposal_only
alpha360_OPEN22,retain_semantic_or_horizon_variant,alpha360_OPEN22,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN22,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN22,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN22,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_22,ratio,,,,pending,none_proposal_only
alpha360_OPEN23,retain_semantic_or_horizon_variant,alpha360_OPEN23,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN23,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN23,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN23,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_23,ratio,,,,pending,none_proposal_only
alpha360_OPEN24,retain_semantic_or_horizon_variant,alpha360_OPEN24,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN24,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN24,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN24,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_24,ratio,,,,pending,none_proposal_only
alpha360_OPEN25,retain_semantic_or_horizon_variant,alpha360_OPEN25,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN25,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN25,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN25,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_25,ratio,,,,pending,none_proposal_only
alpha360_OPEN26,retain_semantic_or_horizon_variant,alpha360_OPEN26,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN26,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN26,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN26,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_26,ratio,,,,pending,none_proposal_only
alpha360_OPEN27,retain_semantic_or_horizon_variant,alpha360_OPEN27,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN27,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN27,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN27,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_27,ratio,,,,pending,none_proposal_only
alpha360_OPEN28,retain_semantic_or_horizon_variant,alpha360_OPEN28,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN28,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN28,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN28,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_28,ratio,,,,pending,none_proposal_only
alpha360_OPEN29,retain_semantic_or_horizon_variant,alpha360_OPEN29,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN29,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN29,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN29,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_29,ratio,,,,pending,none_proposal_only
alpha360_OPEN3,retain_semantic_or_horizon_variant,alpha360_OPEN3,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN3,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN3,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN3,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_3,ratio,,,,pending,none_proposal_only
alpha360_OPEN30,retain_semantic_or_horizon_variant,alpha360_OPEN30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN30,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_30,ratio,,,,pending,none_proposal_only
alpha360_OPEN31,retain_semantic_or_horizon_variant,alpha360_OPEN31,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN31,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN31,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN31,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_31,ratio,,,,pending,none_proposal_only
alpha360_OPEN32,retain_semantic_or_horizon_variant,alpha360_OPEN32,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN32,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN32,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN32,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_32,ratio,,,,pending,none_proposal_only
alpha360_OPEN33,retain_semantic_or_horizon_variant,alpha360_OPEN33,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN33,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN33,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN33,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_33,ratio,,,,pending,none_proposal_only
alpha360_OPEN34,retain_semantic_or_horizon_variant,alpha360_OPEN34,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN34,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN34,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN34,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_34,ratio,,,,pending,none_proposal_only
alpha360_OPEN35,retain_semantic_or_horizon_variant,alpha360_OPEN35,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN35,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN35,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN35,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_35,ratio,,,,pending,none_proposal_only
alpha360_OPEN36,retain_semantic_or_horizon_variant,alpha360_OPEN36,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN36,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN36,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN36,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_36,ratio,,,,pending,none_proposal_only
alpha360_OPEN37,retain_semantic_or_horizon_variant,alpha360_OPEN37,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN37,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN37,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN37,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_37,ratio,,,,pending,none_proposal_only
alpha360_OPEN38,retain_semantic_or_horizon_variant,alpha360_OPEN38,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN38,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN38,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN38,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_38,ratio,,,,pending,none_proposal_only
alpha360_OPEN39,retain_semantic_or_horizon_variant,alpha360_OPEN39,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN39,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN39,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN39,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_39,ratio,,,,pending,none_proposal_only
alpha360_OPEN4,retain_semantic_or_horizon_variant,alpha360_OPEN4,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN4,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN4,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN4,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_4,ratio,,,,pending,none_proposal_only
alpha360_OPEN40,retain_semantic_or_horizon_variant,alpha360_OPEN40,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN40,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN40,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN40,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_40,ratio,,,,pending,none_proposal_only
alpha360_OPEN41,retain_semantic_or_horizon_variant,alpha360_OPEN41,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN41,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN41,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN41,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_41,ratio,,,,pending,none_proposal_only
alpha360_OPEN42,retain_semantic_or_horizon_variant,alpha360_OPEN42,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN42,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN42,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN42,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_42,ratio,,,,pending,none_proposal_only
alpha360_OPEN43,retain_semantic_or_horizon_variant,alpha360_OPEN43,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN43,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN43,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN43,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_43,ratio,,,,pending,none_proposal_only
alpha360_OPEN44,retain_semantic_or_horizon_variant,alpha360_OPEN44,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN44,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN44,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN44,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_44,ratio,,,,pending,none_proposal_only
alpha360_OPEN45,retain_semantic_or_horizon_variant,alpha360_OPEN45,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN45,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN45,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN45,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_45,ratio,,,,pending,none_proposal_only
alpha360_OPEN46,retain_semantic_or_horizon_variant,alpha360_OPEN46,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN46,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN46,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN46,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_46,ratio,,,,pending,none_proposal_only
alpha360_OPEN47,retain_semantic_or_horizon_variant,alpha360_OPEN47,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN47,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN47,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN47,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_47,ratio,,,,pending,none_proposal_only
alpha360_OPEN48,retain_semantic_or_horizon_variant,alpha360_OPEN48,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN48,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN48,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN48,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_48,ratio,,,,pending,none_proposal_only
alpha360_OPEN49,retain_semantic_or_horizon_variant,alpha360_OPEN49,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN49,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN49,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN49,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_49,ratio,,,,pending,none_proposal_only
alpha360_OPEN5,retain_semantic_or_horizon_variant,alpha360_OPEN5,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN5,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN5,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN5,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_5,ratio,,,,pending,none_proposal_only
alpha360_OPEN50,retain_semantic_or_horizon_variant,alpha360_OPEN50,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN50,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_OPEN50,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_OPEN50,1.0,Singleton is not evidence of independence,480,13,historical_open_to_current_close_ratio,lag_50,ratio,,,,pending,none_proposal_only
